NCTId,PD-L1,CUI
NCT00064012,NULL,
NCT00193453,NULL,
NCT03095612,NULL,
NCT00003762,NULL,
NCT02358473,NULL,
NCT00532155,NULL,
NCT02364362,NULL,
NCT00231465,NULL,
NCT00405951,NULL,
NCT01138163,NULL,
NCT01905657,PD-L1_Positive,C4284303
NCT00278460,NULL,
NCT00312377,NULL,
NCT01642004,PD-L1_Negative,C4054670
NCT01642004,PD-L1_Positive,C4284303
NCT01642004,Lack of Expression of PD-L1,C4054670
NCT00544960,NULL,
NCT00222144,NULL,
NCT00114192,NULL,
NCT01350817,NULL,
NCT02531737,NULL,
NCT00201825,NULL,
NCT00005868,NULL,
NCT00281970,NULL,
NCT00004139,NULL,
NCT01362296,NULL,
NCT00132639,NULL,
NCT00390429,NULL,
NCT00227708,NULL,
NCT00173888,NULL,
NCT02283320,NULL,
NCT00080080,NULL,
