NCTId,Histology,CUI
NCT00316186,NULL,
NCT00004201,Non-small Cell Lung Cancer,C0007131
NCT04902885,Small Cell Lung Cancer,C0149925
NCT00682981,Small Cell Lung Cancer,C0149925
NCT00856830,Small Cell Lung Cancer,C0149925
NCT00041054,NULL,
NCT00240097,Small Cell Lung Cancer,C0149925
NCT00247416,Carboplatin,
NCT00247416,Gemcitabine,
NCT00247416,Lung Cancer,C0242379
NCT01987232,Small cell Lung Cancer,C0149925
NCT00647426,Adenocarcinoma,C0001418
NCT00647426,Squamous cell carcinoma,C0349656
NCT00647426,Large Cell,C0334248
NCT01466647,Non-small cell Lung Cancer,C0007131
NCT03066778,Small Cell Lung Cancer,C0149925
NCT00433498,Small Cell Lung Cancer,C0149925
NCT01683682,Non Small Cell Lung Cancer,C0007131
NCT00190710,Non Small Cell Lung Cancer,C0007131
NCT00305942,NULL,
NCT01652820,Non small Cell Lung Cancer,C0007131
NCT00070486,Non Small Cell Lung Cancer,C0007131
NCT00017251,NULL,
NCT00826852,Non small Cell Lung Cancer,C0007131
NCT00042679,Non Small Cell Lung Cancer,C0007131
NCT00717938,NULL,
NCT00599755,Non Small Cell Lung Cancer,C0007131
NCT00041314,NULL,
NCT00094822,Non Small Cell Lung Cancer,C0007131
NCT00321334,NULL,
NCT01439568,Small Cell Lung Carcinoma,C0149925
NCT00025272,NULL,
NCT00687297,Non-small Cell Lung Cancer,C0007131
NCT00028925,NULL,
NCT00463515,Non-Small Cell Lung Cancer,C0007131
NCT00052338,Non Small Cell Lung Cancer,C0007131
NCT00453154,Small Cell Lung Cancer,C0149925
NCT00251498,Non Small Cell Lung Cancer,C0007131
NCT00025285,Non Small Cell Lung Cancer,C0007131
NCT00193349,Small Cell Lung Cancer,C0149925
NCT00516022,Non-small cell lung cancer,C0007131
NCT00423449,Non-Small Cell Lung Cancer,C0007131
NCT00870870,NULL,
NCT05026593,Small Cell Lung Cancer,C0149925
NCT01266512,Non-small cell lung cancer,C0007131
NCT01450761,Small Cell Lung Cancer,C0149925
NCT00258739,Non Small Cell Lung Cancer,C0007131
NCT00212043,Non-small Cell Carcinoma,C0007131
NCT00132665,Non Small Cell Lung Cancer,C0007131
NCT00002822,Small Cell Lung Cancer,C0149925
NCT00887783,Adenocarcinoma,C0001418
NCT00791154,Small Cell Lung Cancer,C0149925
NCT00883779,Non Small Cell Lung Cancer,C0007131
NCT00193427,NULL,
NCT00264498,Non-Small Cell Lung Cancer,C0007131
NCT00153803,Non Small Cell Lung Cancer,C0007131
NCT00499109,Non-Small Cell Lung Cancer,C0007131
NCT01648517,Non-small Cell Lung Cancer,C0007131
NCT00600587,Non Small Cell Lung Cancer,C0007131
NCT00446225,Non Small Cell Lung Cancer,C0007131
NCT00004186,Small Cell Lung Cancer,C0149925
NCT00401609,Small cell Lung Cancer,C0149925
NCT00215930,NULL,
NCT04449861,Squamous cell carcinoma,C0349656
NCT00138658,Non Small Cell Lung Cancer,C0007131
NCT00049218,NULL,
NCT00191230,Non Small Cell Lung Cancer,C0007131
NCT00413283,Non Small Cell Lung Cancer,C0007131
NCT00002623,Non-small Cell Lung Cancer,C0007131
NCT00695994,NULL,
NCT04712903,Small Cell Lung Cancer,C0149925
NCT04870112,Non Small Cell Lung Cancer,C0007131
NCT04870112,Small Cell Lung Cancer,C0149925
NCT00086268,NULL,
NCT02175381,NULL,
NCT01998919,Non Small Cell Lung Cancer,C0007131
NCT00759824,Small Cell Lung Cancer,C0149925
NCT00606502,Non Small Cell Lung Cancer,C0007131
NCT00068289,NULL,
NCT03717155,NULL,
NCT00003860,Small Cell Lung Cancer,C0149925
NCT02945852,Small Cell Lung Cancer,C0149925
NCT02292550,Non small Cell Lung Cancer,C0007131
NCT02299505,Non-small Cell Lung Cancer,C0007131
NCT01772797,Non-small Cell Lung Cancer,C0007131
NCT01685138,NULL,
NCT02040870,Non-small Cell Lung Cancer,C0007131
NCT02276027,Non-small Cell Lung Cancer,C0007131
NCT01685060,Non-Small Cell Lung Cancer,C0007131
NCT02336451,Adenocarcinoma,C0001418
NCT02422589,NULL,
NCT02605746,NULL,
NCT01712217,Non Small Cell Lung Cancer,C0007131
NCT01300429,Non-small Cell Lung Cancer,C0007131
NCT01579994,Adenocarcinoma,C0001418
NCT03088930,Non small Cell Lung Cancer,C0007131
NCT00965731,NULL,
NCT00932451,Non Small Cell Lung Cancer,C0007131
NCT01121575,NULL,
NCT01998126,Non-small Cell Lung Cancer,C0007131
NCT01970865,Non Small Cell Lung Cancer,C0007131
NCT02183870,Adenocarcinoma,C0001418
NCT01945021,NULL,
NCT02679170,Non Small Cell Lung Cancer,C0007131
NCT03718117,NULL,
NCT01597258,NULL,
NCT05014464,Squamous cell carcinoma,C0349656
NCT02727335,NULL,
NCT02372448,NULL,
NCT05792644,NULL,
NCT01744652,NULL,
NCT00585195,NULL,
NCT01752400,Non-Small Cell Lung Carcinoma,C0007131
NCT02718651,NULL,
NCT02042105,Adenocarcinoma,C0001418
NCT01703091,Non Small Cell Lung Cancer,C0007131
NCT02789345,Adenocarcinoma,C0001418
NCT01168973,Non Small Cell Lung Cancer,C0007131
NCT02443324,Adenocarcinoma,C0001418
NCT02443324,NSCLC,C0007131
NCT02443324,Transitional Cell Carcinoma of the Urothelium,
NCT02443324,Biliary Tract Cancer,
NCT02572687,Adenocarcinoma,C0001418
NCT05800418,NULL,
NCT02082210,NULL,
NCT04775095,Carcinoma,C0007097
NCT01336634,Non-small Cell Lung Cancer,C0007131
